繁体字	规范字	异体字
話	话	䛡
該	该	
詳	详	
詵	诜	
詷	𫍣	
詼	诙	
詿	诖	
誄	诔	
誅	诛	
誆	诓	
誇	夸	
認	认	
誑	诳	
誕	诞	
誘	诱	
誚	诮	
語	语	
誠	诚	
誡	诫	
誣	诬	
誤	误	
誥	诰	
誦	诵	
誨	诲	
説	说	
誰	谁	
課	课	
誶	谇	
誹	诽	
誼	谊	
誾	訚	
調	调	
諂	谄	謟
諄	谆	
談	谈	
諉	诿	
請	请	
諍	诤	
諏	诹	
諑	诼	
諒	谅	
諓	𬣡	
論	论	
諗	谂	
諛	谀	
諜	谍	
諝	谞	
諞	谝	
諟	𬤊	
諢	诨	
諤	谔	
諦	谛	
諧	谐	
諫	谏	
諭	谕	
諱	讳	
諲	𬤇	
諳	谙	
諴	𫍯	
諶	谌	
諷	讽	
諸	诸	
諺	谚	
諼	谖	
諾	诺	
謀	谋	
謁	谒	
謂	谓	
謄	誊	
謅	诌	
謊	谎	
謎	谜	
謏	𫍲	
謐	谧	
謔	谑	
謖	谡	
謗	谤	
謙	谦	
謚	谡	諡
講	讲	
謝	谢	
謡	谣	
謨	谟	謩
謫	谪	讁
謬	谬	
謭	谫	
謳	讴	
謹	谨	
謾	谩	
證	证	
譎	谲	
譏	讥	
譓	𬤝	
譖	谮	
識	识	
譙	谯	
譚	谭	
譜	谱	
譞	𫍽	
譫	谵	
譯	译	
議	议	
譴	谴	
護	护	
譽	誉	
讀	读	
變	变	
讋	詟	
讎	雠	讐
讒	谗	
讓	让	
讕	谰	
讖	谶	
讜	谠	
讞	谳	
谷		
豆		荳
豈	岂	
豐	丰	
豶	豮	
貙	䝙	
貝	贝	
貞	贞	
負	负	
財	财	
貢	贡	
貧	贫	
貨	货	
販	贩	
貪	贪	
貫	贯	
責	责	
貯	贮	
貰	贳	
貲	赀	
貳	贰	
貴	贵	
貶	贬	
買	买	
貸	贷	
貺	贶	
費	费	
貼	贴	
貽	贻	
貿	贸	
賀	贺	
賁	贲	
賂	赂	
賃	赁	
賄	贿	
賅	赅	
資	资	貲
賈	贾	
賊	贼	
賑	赈	
賒	赊	
賓	宾	
賕	赇	
賙	赒	
賚	赉	
賜	赐	
賞	赏	
賠	赔	
賡	赓	
賢	贤	
賣	卖	
賤	贱	
賦	赋	
賧	赕	
質	质	
賫	赍	賷齎
賬	账	
賭	赌	
賴	赖	頼
賵	赗	
賺	赚	
賻	赙	
購	购	
賽	赛	
賾	赜	
贄	贽	
贅	赘	
贇	赟	
贈	赠	
贊	赞	賛讚
贋	赝	贗
贍	赡	
贏	赢	
贐	赆	
贔	赑	
贖	赎	
贛	赣	贑灨
贜	赃	
赬	赪	
趁		趂
趕	赶	
趙	赵	
趨	趋	
趲	趱	
跖		蹠
跺		跥
踐	践	
踩		跴
踪		蹤
踴	踊	
蹄		蹏
蹌	跄	
蹕	跸	
蹚		䠀
蹣	蹒	
蹰		躕
蹴		蹵
蹺	跷	蹻
躂	跶	
躉	趸	
躊	踌	
躋	跻	
躍	跃	
躑	踯	
躒	跞	
躓	踬	
躚	跹	
躡	蹑	
躥	蹿	
躦	躜	
躪	躏	
躬		躳
軀	躯	
車	车	
軋	轧	
軌	轨	
軍	军	
軏	𫐄	
軑	轪	
軒	轩	
軔	轫	軔
軛	轭	
軝	𬨂	
軟	软	輭
軤	轷	
軫	轸	
軲	轱	
軸	轴	
軹	轵	
軺	轺	
軻	轲	
軼	轶	
軾	轼	
較	较	
輄	𨐈	
輅	辂	
輇	辁	
輈	辀	
載	载	
輊	轾	
輋	𪨶	
輒	辄	輙
輔	辅	
輕	轻	
輗	𫐐	
輛	辆	
輜	辎	
輝	辉	煇
輞	辋	
輟	辍	
輥	辊	
輦	辇	
輩	辈	
輪	轮	
輬	辌	
輮	𫐓	
輯	辑	
輳	辏	
輶	𬨎	
輸	输	
輻	辐	
輼	辒	
輾	辗	
輿	舆	
轂	毂	
轄	辖	
轅	辕	
轆	辘	
轉	转	
轍	辙	
轎	轿	
轔	辚	
轟	轰	
轡	辔	
轢	轹	
轤	轳	
辟		
辣		辢
辦	办	
辭	辞	辤
辮	辫	
辯	辩	
農	农	辳
迥		逈
迫		廹
迴	回	廻逥
迹		跡蹟
逕	迳	
這	这	
連	连	
進	进	
逼		偪
逾		踰
遁		遯
運	运	
遍		徧
過	过	
達	达	
違	违	
遜	逊	
遞	递	
遠	远	
適	适	
遲	迟	
遷	迁	
選	选	
遺	遗	
遼	辽	
邁	迈	
還	还	
邇	迩	
邊	边	
邏	逻	
邐	逦	
邪		衺
郁		
郟	郏	
郵	邮	
鄆	郓	
鄉	乡	
鄒	邹	
鄔	邬	
鄖	郧	
鄧	邓	
鄩	𬩽	
鄭	郑	
鄰	邻	隣
鄲	郸	
鄳	𫑡	
鄴	邺	
鄶	郐	
鄺	邝	
酇	酂	
酈	郦	
酬		酧詶醻
醇		醕
醖	酝	
醜	丑	
醫	医	
醬	酱	
醱	酦	
醲	𬪩	
釀	酿	
釁	衅	
釃	酾	
釅	酽	
采		採寀
釋	释	
里		
野		埜𡐨
釓	钆	
釔	钇	
釕	钌	
釗	钊	
釘	钉	
釙	钋	
針	针	鍼
釣	钓	
釤	钐	
釧	钏	
釩	钒	
釴	𬬩	
釵	钗	
釷	钍	
釹	钕	
釺	钎	
釿	𬬱	
鈀	钯	
鈁	钫	
鈃	钘	
鈄	钭	
鈇	𫓧	
鈈	钚	
鈉	钠	
鈍	钝	
鈎	钩	鉤
鈐	钤	
鈑	钣	
鈔	钞	
鈕	钮	
鈞	钧	
鈣	钙	
鈥	钬	
鈦	钛	
鈧	钪	
鈮	铌	
鈰	铈	
鈴	铃	
鈷	钴	
鈸	钹	
鈹	铍	
鈺	钰	
鈾	铀	
鈿	钿	
鉀	钾	
鉅	钜	
鉈	铊	
鉉	铉	
鉊	𬬿	
鉍	铋	
鉑	铂	
鉕	钷	
鉗	钳	
鉚	铆	
鉛	铅	鈆
鉞	钺	
鉢	钵	盋缽
鉥	𬬸	
鉦	钲	
鉧	𬭁	
鉬	钼	
鉭	钽	
鉮	𬬹	
鉶	铏	
鉷	𫟹	
鉸	铰	
鉺	铒	
鉻	铬	
鉿	铪	
銀	银	
銃	铳	
銅	铜	
銈	𫓯	
銍	铚	
銑	铣	
銓	铨	
銖	铢	
銘	铭	
銚	铫	
銜	衔	啣衘
銠	铑	
銣	铷	
銥	铱	
銦	铟	
銨	铵	
銩	铥	
銪	铕	
銫	铯	
銬	铐	
銱	铞	
銶	𨱇	
銷	销	
銹	锈	鏽
銻	锑	
銼	锉	剉
鋁	铝	
鋃	锒	
鋅	锌	
鋇	钡	
鋌	铤	
鋏	铗	
鋐	𬭎	
鋒	锋	
鋗	𫓶	
鋙	铻	
鋝	锊	
鋟	锓	
鋣	铘	
鋤	锄	鉏耡
鋥	锃	
鋦	锔	
鋨	锇	
鋪	铺	舖
鋭	锐	
鋮	铖	
鋯	锆	
鋰	锂	
鋱	铽	
鋶	锍	
鋸	锯	
鋹	𬬮	
鋼	钢	
錀	𬬭	
錁	锞	
錆	锖	
錇	锫	
錈	锩	
錐	锥	
錒	锕	
錕	锟	
錘	锤	鎚
錙	锱	
錚	铮	
錛	锛	
錞	𬭚	
錟	锬	
錠	锭	
錡	锜	
錢	钱	
錤	𫓹	
錦	锦	
錨	锚	
錫	锡	
錮	锢	
錯	错	
録	录	
錳	锰	
錶	表	
錸	铼	
鍀	锝	
鍁	锨	
鍃	锪	
鍆	钔	
鍇	锴	
鍈	锳	
鍋	锅	
鍍	镀	
鍔	锷	
鍘	铡	
鍚	钖	
鍛	锻	
鍠	锽	
鍤	锸	
鍥	锲	
鍩	锘	
鍬	锹	鍫
鍭	𬭤	
鍰	锾	
鍵	键	
鍶	锶	
鍺	锗	
鍾	钟锺	
鎂	镁	
鎄	锿	
鎇	镅	
鎊	镑	
鎓	𬭩	
鎔	镕	
鎖	锁	鎻
鎘	镉	
鎛	镈	
鎝	𨱏	
鎡	镃	
鎢	钨	
鎣	蓥	
鎦	镏	
鎧	铠	
鎩	铩	
鎪	锼	
鎬	镐	
鎮	镇	
鎰	镒	
鎳	镍	
鎵	镓	
鎸	镌	
鎿	镎	
鏃	镞	
鏇	旋	
鏈	链	
鏌	镆	
鏏	𬭬	
鏐	镠	
鏑	镝	
鏗	铿	
鏘	锵	
鏜	镗	
鏝	镘	
鏞	镛	
鏟	铲	剷
鏡	镜	
鏢	镖	
鏤	镂	
鏨	錾	
鏰	镚	
鏵	铧	
鏷	镤	
鏹	镪	
鏺	䥽	
鏻	𬭸	
鐃	铙	
鐄	𨱑	
鐇	𫔍	
鐋	铴	
鐍	𫔎	
鐏	𨱔	
鐐	镣	
鐒	铹	
鐓	镦	
鐔	镡	
鐘	钟	
鐙	镫	
鐝	镢	
鐠	镨	
鐦	锎	
鐧	锏	
鐨	镄	
鐩	𬭼	
鐮	镰	鎌䥥
鐯	䦃	
鐲	镯	
鐳	镭	
鐵	铁	
鐶	镮	
鐸	铎	
鐺	铛	
鐽	𫟼	
鐿	镱	
鑄	铸	
鑊	镬	
鑌	镔	
鑒	鉴	鍳鑑
鑔	镲	
鑕	锧	
鑞	镴	
鑠	铄	
鑣	镳	
鑥	镥	
鑪	𬬻	
鑭	镧	
鑰	钥	
鑱	镵	
鑲	镶	
鑷	镊	
鑹	镩	
鑼	锣	
鑽	钻	鑚
鑾	銮	
鑿	凿	
钂	镋	
長	长	
門	门	
閂	闩	
閃	闪	
閆	闫	
閉	闭	
開	开	
閌	闶	
閎	闳	
閏	闰	
閑	闲	閒
間	间	
閔	闵	
閘	闸	牐
閡	阂	
閣	阁	閤
閤	合	
閥	阀	
閨	闺	
閩	闽	
閫	阃	
閬	阆	
閭	闾	
閲	阅	
閶	阊	
閹	阉	
閻	阎	
閼	阏	
閽	阍	
閾	阈	
閿	阌	
闃	阒	
闆	板	
闈	闱	
闉	𬮱	
闊	阔	濶
闋	阕	
闌	阑	
闍	阇	
闐	阗	
闑	𫔶	
闒	阘	
闓	闿	
闔	阖	
闕	阙	
闖	闯	
關	关	
闞	阚	
闡	阐	
闢	辟	
闥	闼	
阱		穽
附		坿
陘	陉	
陝	陕	
陣	阵	
陰	阴	隂
陳	陈	
陸	陆	
陽	阳	
隊	队	
階	阶	堦
隑	𬮿	
隕	陨	
際	际	
隤	𬯎	
隨	随	
險	险	
隮	𬯀	
隱	隐	
隴	陇	
隸	隶	𨽻隷
隻	只	
隽		雋
雁		鴈
雇		僱
雍		雝
雕		彫琱鵰
雖	虽	
雙	双	
雛	雏	
雜	杂	襍
離	离	
難	难	
雲	云	
電	电	
霓		蜺
霧	雾	
霸		覇
霽	霁	
靂	雳	
靄	霭	
靆	叇	
靈	灵	
靉	叆	
靚	靓	
面		
靨	靥	
靴		鞾
鞋		鞵
鞍		鞌
鞏	巩	
鞦	秋	
鞽	鞒	
韃	鞑	
韆	千	
韉	鞯	
韋	韦	
韌	韧	靭靱
韍	韨	
韓	韩	
韙	韪	
韜	韬	
韞	韫	
韭		韮
韵		韻
響	响	
頁	页	
頂	顶	
頃	顷	
項	项	
順	顺	
頇	顸	
須	须	
頊	顼	
頌	颂	
頍	𫠆	
頎	颀	
頏	颃	
預	预	
頑	顽	
頒	颁	
頓	顿	
頔	𬱖	
頗	颇	
領	领	
頜	颌	
頠	𬱟	
頡	颉	
頤	颐	
頦	颏	
頫	𫖯	
頭	头	
頰	颊	
頲	颋	
頵	𫖳	
頷	颔	
頸	颈	
頻	频	
頽	颓	穨
顆	颗	
題	题	
額	额	頟
顎	颚	
顒	颙	
顓	颛	
顔	颜	
顗	𫖮	
願	愿	
顙	颡	
顛	颠	
類	类	
顢	颟	
顥	颢	
顧	顾	
顫	颤	
顬	颥	
顯	显	
顰	颦	
顱	颅	
顳	颞	
顴	颧	
風	风	
颭	飐	
颮	飑	
颯	飒	䬃
颱	台	
颳	刮	
颶	飓	𩗗
颸	飔	
颺	飏	
颼	飕	
飀	飗	
飄	飘	飃
飆	飙	
飛	飞	
飢	饥	
飧		飱
飩	饨	
飪	饪	餁
飫	饫	
飭	饬	
飯	饭	
飲	饮	㱃
飴	饴	
飼	饲	飤
飽	饱	
飾	饰	
飿	饳	
餃	饺	
餄	饸	
餅	饼	
餉	饷	饟
養	养	
餌	饵	
餎	饹	
餏	饻	
餑	饽	
餒	馁	
餓	饿	
餗	𫗧	
餘	余	
餛	馄	
餜	馃	
餞	饯	
餡	馅	
館	馆	舘
餳	饧	
餶	馉	
餷	馇	
餼	饩	
餾	馏	
餿	馊	
饁	馌	
饃	馍	饝
饅	馒	
饈	馐	
饉	馑	
饊	馓	
饋	馈	餽
饌	馔	籑
饑	饥	
饒	饶	
饗	飨	
饘	𫗴	
饜	餍	
饞	馋	
饢	馕	
馬	马	
馭	驭	
馮	冯	
馱	驮	䭾
馳	驰	
馴	驯	
馹	驲	
馼	𫘜	
駁	驳	駮
駃	𫘝	
駉	𬳶	
駐	驻	
駑	驽	
駒	驹	
駓	𬳵	
駔	驵	
駕	驾	
駘	骀	
駙	驸	
駛	驶	
駝	驼	駞
駟	驷	
駡	骂	傌罵
駢	骈	
駪	𬳽	
駭	骇	
駰	骃	
駱	骆	
駸	骎	
駼	𬳿	
駿	骏	
騁	骋	
騂	骍	
騄	𫘧	
騅	骓	
騊	𫘦	
騍	骒	
騎	骑	
騏	骐	
騑	𬴂	
騖	骛	
騙	骗	
騞	𬴃	
騠	𫘨	
騤	骙	
騫	骞	
騭	骘	
騮	骝	
騰	腾	
騱	𫘬	
騵	𫘪	
騶	驺	
騷	骚	
騸	骟	
騾	骡	驘
驀	蓦	
驁	骜	
驂	骖	
驃	骠	
驄	骢	
驅	驱	駈敺
驊	骅	
驌	骕	
驍	骁	
驎	𬴊	
驏	骣	
驕	骄	
驗	验	騐
驚	惊	
驛	驿	
驟	骤	
驢	驴	
驤	骧	
驥	骥	
驦	骦	
驪	骊	
驫	骉	
骯	肮	
髏	髅	
髒	脏	
體	体	
髕	髌	
髖	髋	
髮	发	
髯		髥
鬃		騌鬉騣
鬆	松	
鬍	胡	
鬚	须	
鬢	鬓	
鬥	斗	鬦鬪鬭
鬧	闹	閙
鬩	阋	
鬮	阄	
鬱	郁	欝鬰
鬹	鬶	
魂		䰟
魎	魉	
魘	魇	
魚	鱼	
魛	鱽	
魢	鱾	
魨	鲀	
魯	鲁	
魴	鲂	
魷	鱿	
鮀	𬶍	
鮁	鲅	
鮃	鲆	
鮆	𫚖	
鮈	𬶋	
鮊	鲌	
鮋	鲉	
鮍	鲏	
鮎	鲇	
鮐	鲐	
鮑	鲍	
鮒	鲋	
鮓	鲊	
鮚	鲒	
鮜	鲘	
鮝	鲞	
鮞	鲕	
鮟	𩽾	
鮠	𬶏	
鮡	𬶐	
鮣	䲟	
鮦	鲖	
鮪	鲔	
鮫	鲛	
鮭	鲑	
鮮	鲜	尠尟鱻
鮶	鲪	
鮸	𩾃	
鮺	鲝	
鯀	鲧	
鯁	鲠	骾
鯇	鲩	
鯉	鲤	
鯊	鲨	
鯒	鲬	
鯔	鲻	
鯕	鲯	
鯖	鲭	
鯛	鲷	
鯝	鲴	
鯡	鲱	
鯢	鲵	
鯤	鲲	
鯧	鲳	
鯨	鲸	
鯪	鲮	
鯫	鲰	
鯴	鲺	
鯷	鳀	
鯻	𬶟	
鯽	鲫	
鯿	鳊	
鰁	鳈	
鰂	鲗	
鰃	鳂	
鰆	䲠	
鰈	鲽	
鰉	鳇	
鰊	𬶠	
鰍	鳅	鰌
鰏	鲾	
鰐	鳄	鱷
鰓	鳃	
鰛	鳁	
鰜	鳒	
鰟	鳑	
鰣	鲥	
鰤	𫚕	
鰥	鳏	
鰧	䲢	
鰨	鳎	
鰩	鳐	
鰭	鳍	
鰱	鲢	
鰲	鳌	鼇
鰳	鳓	
鰵	鳘	
鰶	𬶭	
鰷	鲦	
鰹	鲣	
鰺	鲹	
鰻	鳗	
鰼	鳛	
鰾	鳔	
鱀	𬶨	
鱂	鳉	
鱅	鳙	
鱇	𩾌	
鱈	鳕	
鱉	鳖	鼈
鱒	鳟	
鱔	鳝	鱓
鱖	鳜	
鱗	鳞	
鱘	鲟	
鱚	𬶮	
鱝	鲼	
鱟	鲎	
鱠	鲙	
鱣	鳣	
鱤	鳡	
鱧	鳢	
鱨	鲿	
鱭	鲚	
鱯	鳠	
鱲	𫚭	
鱸	鲈	
鱺	鲡	
鳥	鸟	
鳩	鸠	
鳬	凫	
鳲	鸤	
鳳	凤	
鳴	鸣	
鳶	鸢	
鳾	䴓	
鴆	鸩	酖
鴇	鸨	
鴉	鸦	鵶
鴒	鸰	
鴕	鸵	
鴛	鸳	
鴝	鸲	
鴞	鸮	
鴟	鸱	
鴣	鸪	
鴦	鸯	
鴨	鸭	
鴯	鸸	
鴰	鸹	
鴴	鸻	
鴷	䴕	
鴻	鸿	
鴿	鸽	
鵁	䴔	
鵂	鸺	
鵃	鸼	
鵏	𬷕	
鵐	鹀	
鵑	鹃	
鵒	鹆	
鵓	鹁	
鵜	鹈	
鵝	鹅	鵞䳘
鵟	𫛭	
鵠	鹄	
鵡	鹉	
鵪	鹌	
鵬	鹏	
鵮	鹐	
鵯	鹎	
鵲	鹊	
鵾	鹍	
鶄	䴖	
鶇	鸫	
鶉	鹑	
鶊	鹒	
鶓	鹋	
鶖	鹙	
鶘	鹕	
鶚	鹗	
鶠	𬸘	
鶡	鹖	
鶥	鹛	
鶩	鹜	
鶪	䴗	
鶬	鸧	
鶯	莺	鸎
鶱	𬸣	
鶲	鹟	
鶴	鹤	
鶹	鹠	
鶺	鹡	
鶻	鹘	
鶼	鹣	
鷀	鹚	鶿
鷁	鹢	
鷂	鹞	
鷄	鸡	雞
鷉	䴘	
鷊	鹝	
鷓	鹧	
鷗	鸥	
鷙	鸷	
鷚	鹨	
鷟	𬸦	
鷥	鸶	
鷦	鹪	
鷫	鹔	
鷭	𬸪	
鷯	鹩	
鷲	鹫	
鷳	鹇	
鷸	鹬	
鷹	鹰	
鷺	鹭	
鸇	鹯	
鸊	䴙	
鸌	鹱	
鸏	鹲	
鸑	𬸚	
鸕	鸬	
鸘	鹴	
鸚	鹦	
鸛	鹳	
鸝	鹂	
鸞	鸾	
鹵	卤	
鹹	咸	
鹺	鹾	
鹽	盐	
麗	丽	
麟		麐
麥	麦	
麩	麸	粰䴸
麯	曲	麴
麴	麹	
麵	面	麪
麻		蔴
麽	么	
黌	黉	
點	点	
黨	党	
黲	黪	
黴	霉	
黶	黡	
黷	黩	
黽	黾	
黿	鼋	
鼉	鼍	
鼓		皷
鼕	冬	
鼹		鼴
齊	齐	
齋	斋	亝
齏	齑	
齒	齿	
齔	龀	
齕	龁	
齗	龂	
齘	𬹼	
齙	龅	
齜	龇	
齟	龃	
齠	龆	
齡	龄	
齣	出	
齦	龈	
齪	龊	
齬	龉	
齮	𬺈	
齯	𫠜	
齲	龋	
齷	龌	
齼	𬺓	
龍	龙	
龐	庞	
龑	䶮	
龔	龚	
龕	龛	
龜	龟	
𡑍	𫭼	
𥗽	𬒗	
𨧀	𬭊	
𨨏	𬭛	
𨭆	𬭶	
𨭎	𬭳
