繁体字	规范字	异体字
局		侷跼
届		屆
屓	屃	
屢	屡	
層	层	
屨	屦	
屬	属	
岡	冈	
岩		嵒巗巖
岳		嶽
岸		㟁
峒		峝
峨		峩
峭		陗
峰		峯
峴	岘	
島	岛	㠀
峽	峡	
崍	崃	
崗	岗	
崬	岽	
嵐	岚	
嵽	𫶇	
嶁	嵝	
嶄	崭	嶃
嶇	岖	
嶔	嵚	
嶗	崂	
嶠	峤	
嶢	峣	
嶧	峄	
嶨	峃	
嶮	崄	
嶸	嵘	
嶺	岭	
嶼	屿	
巋	岿	
巒	峦	
巔	巅	
巘	𪩘	
巡		廵
巨		鉅
巰	巯	
布		佈
帆		㠶颿
帘		
帙		袟袠
帚		箒
帥	帅	
師	师	
席		蓆
帳	帐	
帶	带	
帽		㡌
幀	帧	
幂		冪
幃	帏	
幕		幙
幗	帼	
幘	帻	
幟	帜	
幣	币	
幫	帮	幇幚
幬	帱	
干		
年		秊
并		併並竝
幸		倖
幹	干	榦
幾	几	
床		牀
庫	库	
庵		菴
庶		庻
廉		亷㢘
廎	庼	
廞	𫷷	
廟	庙	
廠	厂	
廡	庑	
廢	废	癈
廣	广	
廬	庐	
廳	厅	
异		異
弃		棄
弄		挵衖
弊		𡚁
弦		絃
張	张	
强		強彊
彄	𫸩	
彆	别	
彈	弹	
彌	弥	
彎	弯	
彙	汇	
彠	彟	
彩		綵
往		徃
征		
徇		狥
後	后	
徑	径	逕
從	从	
徠	徕	
御		
復	复	
徵	征	
德		惪
徹	彻	
徽		幑
志		誌
忤		啎
念		唸
怪		恠
恍		怳
恒		恆
恤		卹䘏賉
恩		㤙
恿		惥慂
悍		猂
悖		誖
悴		顇
悵	怅	
悶	闷	
惇		㥫
惡	恶	
惱	恼	
惲	恽	
惻	恻	
愆		諐
愈		瘉癒
愛	爱	
愜	惬	㥦
愧		媿
愴	怆	
愷	恺	
愾	忾	
態	态	
慎		昚
慘	惨	
慚	惭	慙
慟	恸	
慣	惯	
慤	悫	
慨		嘅
慪	怄	
慫	怂	
慮	虑	
慳	悭	
慶	庆	
憂	忧	
憊	惫	
憐	怜	
憑	凭	凴
憒	愦	
憔		癄顦
憖	慭	
憚	惮	
憤	愤	
憩		憇
憫	悯	
憮	怃	
憲	宪	
憶	忆	
懇	恳	
應	应	
懌	怿	
懞	蒙	
懟	怼	
懣	懑	
懨	恹	
懲	惩	
懶	懒	嬾
懷	怀	
懸	悬	
懺	忏	
懼	惧	
懾	慑	慴
戀	恋	
戇	戆	
戔	戋	
戚		慽慼
戛		戞
戧	戗	
戮		剹
戰	战	
戲	戏	戯
才		
扎		紥紮
托		託
扛		摃
扣		釦
扯		撦
扼		搤
折		
抵		牴觝
拐		柺
拓		搨
拖		拕
拗		抝
括		𢬸
拿		拏㧱挐
挂		𦊱掛
挲		挱
挽		輓
挾	挟	
捆		綑
捍		扞
捏		揑
捨	舍	
捫	扪	
据		
捲	卷	
捶		搥
捷		㨗
掃	扫	
掄	抡	
掏		搯
揀	拣	
插		揷
揚	扬	敭颺
揪		揫
揮	挥	
損	损	
搗	捣	𢷬擣
搜		蒐
搶	抢	
携		擕㩗㩦攜
摑	掴	
摜	掼	
摟	搂	
摯	挚	
摳	抠	
摶	抟	
摺	折	
摻	掺	
撈	捞	
撏	挦	
撑		撐
撓	挠	
撝	㧑	
撣	掸	
撥	拨	
撫	抚	
撰		譔
撲	扑	
撳	揿	搇
撻	挞	
撾	挝	
撿	捡	
擁	拥	
擄	掳	
擇	择	
擊	击	
擋	挡	攩
操		𢮥
擓	㧟	
擔	担	
據	据	㨿
擠	挤	
擬	拟	儗
擯	摈	
擰	拧	
擱	搁	
擲	掷	
擴	扩	
擷	撷	
擺	摆	
擻	擞	
擼	撸	
擾	扰	
攄	摅	
攆	撵	
攏	拢	
攔	拦	
攖	撄	
攙	搀	
攛	撺	
攝	摄	
攢	攒	
攣	挛	
攤	摊	
攪	搅	
攬	揽	
效		効傚
救		捄
敕		勅勑
敗	败	
散		㪚
敦		㪟
敵	敌	
數	数	
斂	敛	歛
斃	毙	獘
斆	敩	
斕	斓	
斗		
斤		觔
斫		斮斲斵
斬	斩	
斷	断	
旋		
旗		旂
昆		崐崑
昏		昬
映		暎
春		旾
是		昰
昵		暱
時	时	旹
晃		㨪
晋		晉
晛	𬀪	
晝	昼	
晰		晳
暈	晕	
暉	晖	
暐	𬀩	
暖		㬉煗煖
暗		晻闇
暘	旸	
暢	畅	
暫	暂	蹔
曄	晔	
曆	历	厤
曇	昙	
曉	晓	
曖	暧	
曠	旷	
曨	昽	
曬	晒	
曲		
書	书	
最		冣㝡
會	会	
望		朢
期		朞
朧	胧	
札		剳劄
术		
朱		
朴		
朵		朶
杆		桿
村		邨
杠		槓
杯		盃桮
杰		傑
東	东	
松		
板		
果		菓
柏		栢
查		査
柳		栁桺
柿		柹
栀		梔
栅		柵
栖		棲
栗		慄
核		覈
桌		槕
桑		桒
梁		樑
梅		楳槑
梘	枧	
梜	𬂩	
條	条	
梟	枭	
梨		棃
棋		棊碁
棕		椶
棖	枨	
棗	枣	
棟	栋	
棡	㭎	
棧	栈	
棰		箠
棱		稜
棶	梾	
棹		櫂
椁		槨
椏	桠	
楊	杨	
楓	枫	
